"GEO_ID","NAME","P039001","P039002","P039003","P039004","P039005","P039006","P039007","P039008","P039009","P039010","P039011","P039012","P039013","P039014","P039015","P039016","P039017","P039018","P039019","P039020"
"id","Geographic Area Name","Total","Total!!Husband-wife family","Total!!Husband-wife family!!With related children under 18 years","Total!!Husband-wife family!!With related children under 18 years!!Under 6 years only","Total!!Husband-wife family!!With related children under 18 years!!Under 6 years and 6 to 17 years","Total!!Husband-wife family!!With related children under 18 years!!6 to 17 years only","Total!!Husband-wife family!!No related children under 18 years","Total!!Other family","Total!!Other family!!Male householder, no wife present","Total!!Other family!!Male householder, no wife present!!With related children under 18 years","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years only","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years and 6 to 17 years","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!6 to 17 years only","Total!!Other family!!Male householder, no wife present!!No related children under 18 years","Total!!Other family!!Female householder, no husband present","Total!!Other family!!Female householder, no husband present!!With related children under 18 years","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years only","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years and 6 to 17 years","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!6 to 17 years only","Total!!Other family!!Female householder, no husband present!!No related children under 18 years"
"8710000US3606390","ZCTA5 06390, New York","65","60","20","4","3","13","40","5","2","2","0","0","2","0","3","1","0","0","1","2"
"8710000US3610001","ZCTA5 10001, New York","3176","2038","681","272","111","298","1357","1138","267","72","18","9","45","195","871","412","84","62","266","459"
"8710000US3610002","ZCTA5 10002, New York","18091","10721","4110","1066","790","2254","6611","7370","1642","541","136","78","327","1101","5728","2803","541","564","1698","2925"
"8710000US3610003","ZCTA5 10003, New York","7073","5620","1751","836","208","707","3869","1453","469","144","59","6","79","325","984","433","117","29","287","551"
"8710000US3610004","ZCTA5 10004, New York","584","500","203","127","25","51","297","84","31","16","4","2","10","15","53","30","5","3","22","23"
"8710000US3610005","ZCTA5 10005, New York","930","732","230","162","16","52","502","198","75","22","11","0","11","53","123","43","15","2","26","80"
"8710000US3610006","ZCTA5 10006, New York","405","325","78","50","10","18","247","80","43","8","2","0","6","35","37","17","3","2","12","20"
"8710000US3610007","ZCTA5 10007, New York","1361","1192","639","380","102","157","553","169","50","35","18","2","15","15","119","76","19","8","49","43"
"8710000US3610009","ZCTA5 10009, New York","10953","6099","2277","783","339","1155","3822","4854","974","331","95","33","203","643","3880","1948","360","358","1230","1932"
"8710000US3610010","ZCTA5 10010, New York","4865","3798","1238","622","159","457","2560","1067","245","73","21","8","44","172","822","328","63","26","239","494"
"8710000US3610011","ZCTA5 10011, New York","7574","5800","2034","986","259","789","3766","1774","477","191","75","15","101","286","1297","646","176","70","400","651"
"8710000US3610012","ZCTA5 10012, New York","3856","2963","1053","459","136","458","1910","893","302","111","38","7","66","191","591","224","62","14","148","367"
"8710000US3610013","ZCTA5 10013, New York","5674","4449","2040","807","342","891","2409","1225","418","147","48","15","84","271","807","313","74","39","200","494"
"8710000US3610014","ZCTA5 10014, New York","4632","3731","1312","590","174","548","2419","901","257","106","39","9","58","151","644","304","90","18","196","340"
"8710000US3610016","ZCTA5 10016, New York","8148","6451","1879","1044","205","630","4572","1697","472","135","48","6","81","337","1225","495","129","43","323","730"
"8710000US3610017","ZCTA5 10017, New York","2710","2265","586","318","64","204","1679","445","121","40","14","2","24","81","324","121","37","9","75","203"
"8710000US3610018","ZCTA5 10018, New York","658","435","161","69","20","72","274","223","80","16","7","2","7","64","143","57","11","13","33","86"
"8710000US3610019","ZCTA5 10019, New York","7218","5343","1442","801","165","476","3901","1875","474","132","35","17","80","342","1401","632","158","84","390","769"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","9120","7967","2890","1381","425","1084","5077","1153","295","136","37","16","83","159","858","420","97","27","296","438"
"8710000US3610022","ZCTA5 10022, New York","6505","5674","1503","777","205","521","4171","831","270","92","29","10","53","178","561","221","47","16","158","340"
"8710000US3610023","ZCTA5 10023, New York","12248","10008","3815","1902","515","1398","6193","2240","482","218","59","21","138","264","1758","896","217","83","596","862"
"8710000US3610024","ZCTA5 10024, New York","12704","10386","4418","1765","750","1903","5968","2318","526","222","64","20","138","304","1792","889","201","80","608","903"
"8710000US3610025","ZCTA5 10025, New York","18986","12750","5385","2046","823","2516","7365","6236","1305","498","149","52","297","807","4931","2446","477","357","1612","2485"
"8710000US3610026","ZCTA5 10026, New York","7125","2832","1518","523","353","642","1314","4293","821","363","97","45","221","458","3472","2104","377","401","1326","1368"
"8710000US3610027","ZCTA5 10027, New York","11364","4897","2334","767","535","1032","2563","6467","1221","567","138","107","322","654","5246","3112","570","640","1902","2134"
"8710000US3610028","ZCTA5 10028, New York","9366","8038","3232","1188","527","1517","4806","1328","346","128","19","13","96","218","982","465","97","28","340","517"
"8710000US3610029","ZCTA5 10029, New York","16883","6187","3063","737","807","1519","3124","10696","1801","763","174","146","443","1038","8895","5367","955","1118","3294","3528"
"8710000US3610030","ZCTA5 10030, New York","5714","1784","988","258","287","443","796","3930","702","342","101","50","191","360","3228","2081","403","397","1281","1147"
"8710000US3610031","ZCTA5 10031, New York","11511","4502","2348","592","617","1139","2154","7009","1532","694","187","126","381","838","5477","3099","621","635","1843","2378"
"8710000US3610032","ZCTA5 10032, New York","11894","4850","2346","583","591","1172","2504","7044","1533","660","183","141","336","873","5511","3014","579","598","1837","2497"
"8710000US3610033","ZCTA5 10033, New York","11543","5699","2715","816","597","1302","2984","5844","1240","533","137","116","280","707","4604","2493","500","485","1508","2111"
"8710000US3610034","ZCTA5 10034, New York","8940","4109","1998","606","398","994","2111","4831","1016","486","146","106","234","530","3815","2210","470","409","1331","1605"
"8710000US3610035","ZCTA5 10035, New York","6856","2320","1253","280","407","566","1067","4536","785","364","92","59","213","421","3751","2360","442","547","1371","1391"
"8710000US3610036","ZCTA5 10036, New York","3434","2270","674","312","91","271","1596","1164","358","91","29","14","48","267","806","391","118","41","232","415"
"8710000US3610037","ZCTA5 10037, New York","3838","1186","484","125","109","250","702","2652","419","183","57","15","111","236","2233","1335","286","216","833","898"
