"GEO_ID","id",
"NAME","Geographic Area Name",
"P039001","Total",
"P039002","Total!!Husband-wife family",
"P039003","Total!!Husband-wife family!!With related children under 18 years",
"P039004","Total!!Husband-wife family!!With related children under 18 years!!Under 6 years only",
"P039005","Total!!Husband-wife family!!With related children under 18 years!!Under 6 years and 6 to 17 years",
"P039006","Total!!Husband-wife family!!With related children under 18 years!!6 to 17 years only",
"P039007","Total!!Husband-wife family!!No related children under 18 years",
"P039008","Total!!Other family",
"P039009","Total!!Other family!!Male householder, no wife present",
"P039010","Total!!Other family!!Male householder, no wife present!!With related children under 18 years",
"P039011","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years only",
"P039012","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years and 6 to 17 years",
"P039013","Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!6 to 17 years only",
"P039014","Total!!Other family!!Male householder, no wife present!!No related children under 18 years",
"P039015","Total!!Other family!!Female householder, no husband present",
"P039016","Total!!Other family!!Female householder, no husband present!!With related children under 18 years",
"P039017","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years only",
"P039018","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years and 6 to 17 years",
"P039019","Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!6 to 17 years only",
"P039020","Total!!Other family!!Female householder, no husband present!!No related children under 18 years",
