"GEO_ID","NAME","H011001","H011002","H011003","H011004"
"id","Geographic Area Name","Total population in occupied housing units","Total population in occupied housing units!!Owned with a mortgage or a loan","Total population in occupied housing units!!Owned free and clear","Total population in occupied housing units!!Renter occupied"
"8710000US3610032","ZCTA5 10032, New York","56531","1892","1631","53008"
"8710000US3614774","ZCTA5 14774, New York","151","80","28","43"
"8710000US3612740","ZCTA5 12740, New York","1880","933","552","395"
"8710000US3612832","ZCTA5 12832, New York","7012","3630","1546","1836"
"8710000US3613602","ZCTA5 13602, New York","489","2","0","487"
"8710000US3614853","ZCTA5 14853, New York","0","0","0","0"
"8710000US3611106","ZCTA5 11106, New York","38564","4163","2817","31584"
"8710000US3612924","ZCTA5 12924, New York","158","86","53","19"
"8710000US3611213","ZCTA5 11213, New York","62876","9064","3056","50756"
"8710000US3613634","ZCTA5 13634, New York","3965","2412","936","617"
"8710000US3613656","ZCTA5 13656, New York","2861","1502","830","529"
"8710000US3613490","ZCTA5 13490, New York","1361","863","293","205"
"8710000US3612472","ZCTA5 12472, New York","1560","716","345","499"
"8710000US3612777","ZCTA5 12777, New York","751","429","197","125"
"8710000US3613460","ZCTA5 13460, New York","4398","2081","1227","1090"
"8710000US3613337","ZCTA5 13337, New York","790","460","220","110"
"8710000US3614860","ZCTA5 14860, New York","1039","528","382","129"
"8710000US3613696","ZCTA5 13696, New York","87","43","23","21"
"8710000US3611765","ZCTA5 11765, New York","737","449","189","99"
"8710000US3612594","ZCTA5 12594, New York","4238","2765","544","929"
"8710000US3613211","ZCTA5 13211, New York","6496","3373","1060","2063"
"8710000US3614467","ZCTA5 14467, New York","9082","5432","1485","2165"
"8710000US3613206","ZCTA5 13206, New York","16386","6639","2418","7329"
"8710000US3614611","ZCTA5 14611, New York","17163","4127","1680","11356"
"8710000US3613301","ZCTA5 13301, New York","98","53","38","7"
"8710000US3611365","ZCTA5 11365, New York","42008","13248","6921","21839"
"8710000US3611724","ZCTA5 11724, New York","3175","2141","822","212"
"8710000US3611937","ZCTA5 11937, New York","15379","7845","3057","4477"
"8710000US3611375","ZCTA5 11375, New York","68268","23423","12182","32663"
"8710000US3613756","ZCTA5 13756, New York","613","265","243","105"
"8710000US3614810","ZCTA5 14810, New York","11548","4882","3145","3521"
"8710000US3611763","ZCTA5 11763, New York","28004","19859","3542","4603"
"8710000US3612210","ZCTA5 12210, New York","9943","1637","509","7797"
"8710000US3614885","ZCTA5 14885, New York","873","524","249","100"
"8710000US3612816","ZCTA5 12816, New York","4576","2410","1125","1041"
"8710000US3612917","ZCTA5 12917, New York","1403","786","407","210"
"8710000US3614420","ZCTA5 14420, New York","17744","9602","2634","5508"
"8710000US3612760","ZCTA5 12760, New York","482","185","221","76"
"8710000US3611005","ZCTA5 11005, New York","1806","343","1205","258"
"8710000US3611217","ZCTA5 11217, New York","34691","8783","2137","23771"
"8710000US3614432","ZCTA5 14432, New York","5525","3192","1228","1105"
"8710000US3612477","ZCTA5 12477, New York","18657","9886","3841","4930"
"8710000US3612792","ZCTA5 12792, New York","335","181","71","83"
"8710000US3613621","ZCTA5 13621, New York","650","323","232","95"
"8710000US3612515","ZCTA5 12515, New York","1526","761","324","441"
"8710000US3614507","ZCTA5 14507, New York","1325","796","333","196"
"8710000US3610516","ZCTA5 10516, New York","5271","3089","1015","1167"
"8710000US3613812","ZCTA5 13812, New York","2348","1240","639","469"
"8710000US3611715","ZCTA5 11715, New York","4708","3385","873","450"
"8710000US3612015","ZCTA5 12015, New York","3002","1765","594","643"
"8710000US3612306","ZCTA5 12306, New York","25599","14668","4837","6094"
"8710000US3612409","ZCTA5 12409, New York","801","422","253","126"
"8710000US3614456","ZCTA5 14456, New York","18076","7962","3610","6504"
"8710000US3614817","ZCTA5 14817, New York","2351","1092","651","608"
"8710000US3610006","ZCTA5 10006, New York","3011","435","47","2529"
"8710000US3610463","ZCTA5 10463, New York","65665","11475","6993","47197"
