"","UHF_NEIGH","cases.uhf","testing.uhf","Total Population","Adults with Independent Living Difficulty","Children under 5 years old in Poverty","Crowding (_ 1 person_room)","Foreign-Born","High School Graduation","Limited English","Older Adults Living Alone","Owner-Occupied Homes","Poverty","Rent Burdened Households","Unemployment","Asthma Emergency Department Visits (Adults)","Asthma Hospitalizations (Adults)","Chronic Obstructive Pulmonary Disease  Hospitalization","Chronic Obstructive Pulmonary Disease Emergency Department Visits","Percent Asian Alone","Percent Black Alone","Percent Hispanic Alone","Percent Non-White","Percent White Alone","Fine Particulate Matter (PM2.5)","Ozone (O3)","Overweight or Obese Adults","case.rate","test.rate"
"1","101",1897,4288,93258,5.8,15.3,6.8,30.5,84.2,17.9,39.3,36.3,15.2,50.1,8.2,75,11.7,22.3,34.1,4.8,10.9,43.8,61.8,38.2,7,29.8,54.7,2034.14184305904,4597.99695468485
"2","102",6012,11842,202632,7,24.3,7.8,37,80.9,11.3,29.6,43.5,14.9,51.5,9.7,139.1,18.6,25.1,52.2,3.3,58.6,25.5,90,10,7,31.2,69.4,2966.95487386,5844.09175253662
"3","103",5958,11153,260280,6,43.5,16.8,41.5,70,32.6,33.1,9,32.6,60.8,13.5,184.4,26.7,33.8,65.8,4.4,23,63,92.4,7.6,7.2,30.6,65.1,2289.07330567082,4285.00076840326
"4","104",7576,15611,309020,7.3,33.2,9.4,28.4,75.6,22.6,31.9,29.8,22.8,53.4,10.8,136.4,22.6,33.1,62.4,7,20.6,52.6,82.7,17.3,7,31.5,67.8,2451.62125428775,5051.77658403987
"5","105",4484,8332,214792,7,50.1,15.3,39,64.6,31.7,34.3,6.6,39.3,63.8,14.3,247.4,30.4,45.5,94.9,1.4,28,67.8,98.3,1.7,7.5,30,75.1,2087.60102797125,3879.10164251927
"6","106",4777,8809,216289,7.5,48.1,15.4,37.7,65.7,32.5,41.1,6.9,38.7,58.6,11.8,280.4,39.4,52.1,93.7,1.3,33,62.4,98.4,1.6,7.7,29.7,75.1,2208.61902362117,4072.79149656247
"7","107",3156,5827,142482,7.5,51,12.5,31.1,60.3,31.2,36.3,7.8,41.4,58.5,10.9,309.5,48.9,53.5,98.1,0.8,25.9,70.8,98.7,1.3,7.8,30.6,75.1,2215.01663368004,4089.63939304614
"8","201",1889,3703,135659,4,38.1,8.2,23.4,85.8,20.4,34.7,17.3,22.8,47,5.6,54.3,3.3,13.5,28.3,5.5,3.6,21.8,33.2,66.8,8.7,29,50.7,1392.46198188104,2729.63828422736
"9","202",2285,5378,249816,4.3,15.3,6.1,18.1,89.8,9.3,35.2,33.9,15,37.7,6.3,67.3,7,14.2,28.1,7.9,13.5,17.3,43,57,7.8,28.5,44.2,914.673199474813,2152.78444935472
"10","203",4483,8608,333870,5.3,32.3,6.6,28.9,82,7.8,36.5,20.4,25.9,53.4,9.6,208.5,13.9,38.3,80.1,2.9,65.9,13.7,84.8,15.2,7.3,30.2,67.2,1342.73819151167,2578.24901907928
